Linux 3.10.0-1127.19.1.el7.x86_64 (localhost.localdomain) 	05/09/2023 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601050     0     10201         0   90.00    0.00    0.00   90.00     0     38.00      0.00 3851748 2988332  37.31      0.00      4.00      0.00  game
 1683601050     0         0     10201    0.00    1.00    0.00    1.00     0      0.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__game
 1683601050     0         0     10205    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988332  37.31      0.00      4.00      0.00  |__log_f
 1683601050     0         0     10206    0.00    0.00    0.00    0.00     1     19.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__timer
 1683601050     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__net
 1683601050     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__connector
 1683601050     0         0     10209   16.00    0.00    0.00   16.00     2      5.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__0-M
 1683601050     0         0     10210   25.00    0.00    0.00   25.00     1      5.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__1-B
 1683601050     0         0     10211   26.00    0.00    0.00   26.00     3      4.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__2-B
 1683601050     0         0     10212   19.00    0.00    0.00   19.00     0      5.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__3-B
 1683601050     0         0     10238    3.00    0.00    0.00    3.00     1      0.00      0.00 3851748 2988332  37.31      0.00      0.00      0.00  |__roi

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1683601051     0     10201         0   98.00    1.00    0.00   99.00     2     51.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  game
 1683601051     0         0     10201    1.00    0.00    0.00    1.00     2      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__game
 1683601051     0         0     10205    0.00    0.00    0.00    0.00     3      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__log_f
 1683601051     0         0     10206    0.00    0.00    0.00    0.00     0     19.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__timer
 1683601051     0         0     10207    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__net
 1683601051     0         0     10208    0.00    0.00    0.00    0.00     0      0.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__connector
 1683601051     0         0     10209   19.00    0.00    0.00   19.00     1     15.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__0-M
 1683601051     0         0     10210   27.00    0.00    0.00   27.00     3      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__1-B
 1683601051     0         0     10211   24.00    0.00    0.00   24.00     2      5.00      0.00 3851748 2988456  37.31      0.00      0.00      0.00  |__2-B
